#{"t_start": 1669409387.4536817, "env_id": null}
r,l,t
27.894055,185,1227.84985
7.440571,51,1229.255619
49.859583,303,1235.995459
31.571679,257,1241.722812
21.024913,136,1244.875434
20.77693,107,1247.585049
10.677083,80,1249.586575
11.56356,66,1251.440498
19.600874,104,1254.041049
15.861916,80,1256.139303
33.534342,343,1263.518824
17.94237,100,1265.966604
26.12522,224,1271.157957
10.615621,52,1272.651088
13.882052,106,1275.238922
9.04149,48,1276.664239
5.940074,52,1278.143636
8.67659,54,1279.658028
44.201059,293,1286.256165
20.227162,138,1289.544364
9.624009,58,1291.104183
13.777919,76,1293.107476
48.962354,283,1299.339641
18.020533,196,1303.737509
12.274183,64,1305.464844
26.344328,187,1309.748641
30.904278,215,1314.658596
10.269333,62,1316.998745
14.138314,89,1319.465415
11.677687,58,1321.093611
8.534349,69,1322.963758
11.696874,61,1324.595718
58.519683,564,1336.990043
14.96405,84,1339.169417
42.142681,310,1346.218505
76.679263,392,1354.758188
9.713897,54,1356.334587
19.688817,177,1360.51138
82.156062,569,1372.992349
52.39329,295,1379.57302
36.34815,206,1384.159049
9.549713,51,1385.656256
34.966437,257,1391.541316
99.22443,535,1403.112236
90.704533,498,1414.007697
38.436599,348,1421.655219
33.773234,177,1425.797478
12.692014,68,1427.646975
15.937464,117,1430.560979
92.366516,594,1443.453845
141.728991,1001,1465.179807
8.499622,60,1466.857561
11.518553,80,1468.943272
9.964928,61,1470.641834
11.622234,61,1472.288376
30.356672,269,1478.258471
13.271324,118,1481.25539
90.325467,687,1496.211692
6.411879,49,1497.677934
10.228198,59,1499.262728
34.700957,189,1503.65053
11.075104,58,1505.319868
11.418445,54,1506.839367
16.630023,132,1510.046191
5.375096,49,1511.536237
30.79947,202,1516.19319
37.226087,236,1521.626148
13.967565,106,1524.197793
55.535617,273,1530.401095
6.102448,50,1531.87693
12.34929,74,1533.839641
3.93156,47,1535.213849
23.97203,197,1539.75481
23.573569,141,1543.162376
9.277002,54,1544.731009
7.748033,48,1546.13808
5.1574,62,1547.955661
9.104601,59,1549.576501
10.79651,57,1551.17121
13.608075,64,1552.882921
10.860345,56,1554.390139
11.406054,64,1556.095693
10.205971,52,1557.578882
74.459944,364,1565.60339
22.046869,137,1568.888935
7.145,53,1570.428364
16.631572,193,1574.893237
11.483486,63,1576.627614
9.847572,63,1578.334944
37.322428,294,1584.764298
16.684064,91,1587.039384
11.737448,62,1588.755005
20.228898,118,1591.637752
33.908546,182,1595.768159
60.406582,448,1605.843354
56.539015,433,1615.385672
53.993323,274,1621.520216
11.615417,67,1623.309607
9.949153,64,1625.020003
11.031785,55,1626.645767
8.104741,48,1628.051427
20.754241,167,1631.846504
17.341947,95,1634.309498
35.460954,229,1639.441868
28.4309,238,1644.777842
18.222245,131,1647.850744
34.289537,315,1654.810754
58.458,385,1663.225387
98.778913,527,1674.772259
90.919616,756,1691.186344
57.819911,333,1698.68602
184.145795,1001,1719.958309
29.979929,243,1725.496113
22.034418,166,1729.332984
40.757878,334,1736.812279
11.095513,114,1739.553334
23.48997,225,1744.719475
18.10016,138,1747.968686
136.032796,815,1765.527442
43.519551,195,1770.069073
34.068294,219,1775.131238
60.719455,345,1782.772267
17.892442,151,1786.354549
16.622521,162,1790.007177
58.756104,392,1798.637991
16.519566,134,1801.965103
21.51509,163,1805.782704
18.341043,104,1808.339073
50.076201,292,1814.932016
52.588564,302,1821.700033
61.96936,473,1831.925638
11.287009,80,1833.976594
40.234182,220,1839.065331
31.543079,259,1845.052226
14.929431,120,1847.975561
90.95098,524,1859.438838
31.887674,233,1864.700838
50.111709,219,1869.818349
73.472301,550,1881.682343
80.875557,578,1894.410686
18.416726,140,1897.842119
29.777299,214,1902.840229
80.404279,492,1913.708862
21.292237,192,1918.131859
18.373091,130,1921.268938
141.650889,1001,1942.975385
20.891406,157,1946.6696
19.330567,175,1950.655709
38.456506,250,1956.378921
67.13568,529,1967.956471
80.88023,456,1977.936123
39.900077,273,1984.097624
108.08072,634,1998.161021
108.848206,554,2011.37921
28.011397,190,2015.901371
21.724388,179,2020.025975
14.151011,81,2022.209711
48.354603,257,2028.214731
72.616143,398,2036.87732
117.956064,801,2054.342278
11.862524,70,2056.259679
24.502814,120,2059.190969
33.199395,186,2063.693918
62.100423,310,2070.949983
153.840422,903,2090.45571
58.002779,315,2097.438418
110.191432,588,2110.254293
42.024441,244,2115.829118
43.203248,206,2120.45381
76.82278,385,2129.100652
33.97777,301,2135.84706
27.568095,328,2143.237297
75.846085,509,2154.269637
142.334405,800,2171.520782
36.184845,190,2175.965302
66.198067,360,2183.878025
71.759707,522,2195.3378
10.929251,63,2197.035651
30.813054,286,2203.438304
8.91388,59,2205.062677
10.167982,62,2206.792589
7.809976,53,2208.298348
31.753476,185,2212.616319
23.203833,167,2216.452765
12.059077,60,2218.010048
86.247071,463,2228.104997
28.660689,248,2233.859611
11.397338,60,2235.520334
81.901365,551,2247.660975
26.706235,181,2251.953986
15.482334,77,2254.01053
10.939436,57,2255.632479
84.139066,608,2268.880315
13.488982,75,2270.972673
46.032004,219,2276.005666
8.543697,50,2277.441484
80.066974,373,2285.591026
94.714879,660,2299.869212
7.928126,51,2301.459436
8.072321,54,2302.985194
10.067881,54,2304.514987
154.759531,679,2319.511507
11.210096,59,2321.205154
11.268412,60,2322.890375
38.31868,241,2328.413075
35.558261,192,2332.957252
13.937349,65,2334.691145
16.043956,85,2336.914279
22.696955,128,2339.944315
9.087144,49,2341.397614
34.766675,210,2346.239991
123.406698,515,2357.646231
9.312264,47,2359.040732
14.334918,63,2360.804616
22.360534,121,2363.731555
11.264493,55,2365.299739
11.358719,59,2366.88449
85.293873,398,2375.813339
42.31968,214,2380.742145
12.236493,61,2382.511725
