#{"t_start": 1669321952.5620885, "env_id": null}
r,l,t
84.636885,1001,1441.722624
24.57693,556,1446.400436
11.800725,403,1449.835424
43.456458,490,1453.825073
15.916584,248,1456.027052
45.988394,563,1460.568626
11.203468,188,1462.328053
64.672799,1000,1470.528775
29.439742,447,1474.081289
28.63379,398,1478.480994
20.830419,275,1480.879475
58.214965,1001,1488.820988
85.148399,905,1496.20744
50.379484,716,1501.919135
60.089026,697,1507.458603
23.328313,305,1511.197962
9.850958,163,1512.87561
67.811842,883,1519.810755
64.587639,997,1527.610895
32.792037,422,1531.124959
27.338229,328,1534.497302
57.620962,637,1540.362804
21.516361,532,1544.733501
24.696024,263,1548.309098
34.68698,347,1551.258143
91.638035,1001,1559.143818
13.212811,341,1562.099276
8.905644,160,1563.632812
33.051813,910,1570.563425
52.797384,700,1576.213697
39.802226,575,1581.787359
49.130947,820,1588.257231
67.678562,881,1595.173034
37.866867,878,1601.872285
31.021612,790,1607.965856
54.276689,1001,1617.231419
77.227091,818,1623.690983
15.314187,197,1625.547312
70.627736,1001,1633.114782
20.788732,389,1636.466486
54.766983,593,1641.181287
73.310217,865,1648.86427
22.603828,590,1653.597455
23.919891,358,1656.619714
24.936798,466,1660.541425
99.208981,1001,1668.317274
62.527284,915,1676.017121
41.380111,643,1682.406413
88.704583,1001,1690.347471
49.589621,986,1698.042639
34.298677,462,1701.922733
53.830962,773,1708.098941
42.377822,503,1712.242523
18.757094,269,1714.703865
84.788385,1001,1723.560696
59.46388,913,1730.838216
28.741201,548,1735.645608
57.525773,885,1742.508035
96.894186,1001,1751.379805
82.009014,886,1758.361718
66.38444,750,1764.255378
37.267972,434,1767.926783
24.760049,363,1770.945687
79.558219,741,1776.837479
72.036011,711,1782.810487
44.166495,549,1789.342098
27.443326,537,1794.129917
48.440997,716,1799.902141
73.881344,1001,1807.578108
79.761185,1001,1815.429972
25.307805,302,1818.061065
5.445892,103,1820.219056
36.636517,421,1823.758802
62.369467,532,1828.715925
54.56779,885,1835.786272
