#{"t_start": 1669293086.6805642, "env_id": null}
r,l,t
4.194154,1001,1738.719688
5.201639,1001,1745.896669
5.72304,1001,1752.992774
3.517808,1001,1759.854554
0.002256,78,1760.741842
5.735441,1001,1768.672428
6.589047,1001,1775.809177
3.68691,1001,1782.935616
11.197815,1001,1789.935684
8.642853,1001,1798.111734
0.109847,220,1799.965668
4.302781,1001,1807.123137
4.402918,1001,1814.22107
6.487217,1001,1821.29928
12.509868,1001,1829.284703
8.645232,1001,1836.417926
8.658267,1001,1843.428088
5.525129,1001,1850.511304
4.383088,1001,1858.853014
0,76,1859.819101
1.547669,1001,1866.95564
4.773204,1001,1874.137522
4.172892,599,1878.706222
6.512333,1001,1885.754299
11.822918,1001,1893.980523
2.490069,345,1896.816446
8.553635,976,1904.359622
9.971235,1001,1912.713326
8.640463,1001,1921.766104
1.190917,378,1925.196496
3.426526,1001,1936.860331
2.346057,1001,1956.738959
4.583175,1001,1974.505911
4.966222,1001,1998.545046
0.003122,58,2000.984852
6.143499,977,2020.876471
6.613785,1001,2036.521653
0.66179,1001,2045.409441
2.716141,1001,2055.771058
7.557603,1001,2066.673841
0.849615,1001,2076.143256
0,127,2077.622627
8.554179,1001,2085.819206
0.974968,377,2089.656521
2.483679,486,2095.49406
3.504909,1001,2104.060851
6.134589,1001,2112.417009
5.776037,1001,2122.38566
0.149346,1001,2133.232612
13.877863,1001,2142.837276
0,88,2144.006767
4.764801,1001,2152.292552
3.930989,1001,2162.023411
0,57,2162.900506
8.533673,896,2172.115076
4.496949,1001,2180.77958
0.152993,381,2184.555795
0.006417,88,2185.631799
0,68,2186.575177
0.005561,92,2187.858558
1.394256,165,2189.593021
5.138094,1001,2198.176308
0,283,2201.165462
10.603083,1001,2211.539199
10.122649,1001,2221.081873
1.868703,1001,2229.862084
5.813092,1001,2237.201653
0.102782,118,2238.568509
6.348529,703,2246.36444
16.66464,1001,2255.573838
9.700016,1001,2263.720248
5.684989,1001,2273.314276
7.011299,1001,2282.244667
16.284489,1001,2291.274426
10.058946,1001,2299.488274
14.490023,1001,2306.901491
11.125983,1001,2315.460124
9.382859,1001,2330.419689
9.885802,1001,2346.045651
11.390671,1001,2366.388514
2.255038,1001,2389.808762
3.051795,1001,2404.096205
9.20323,1001,2411.576552
6.906714,1001,2419.253856
8.191445,1001,2427.23527
2.151324,1001,2436.435699
8.708864,1001,2444.449408
11.206197,1001,2452.420616
7.705782,885,2459.871065
2.02672,519,2464.946968
0.736774,241,2468.484582
2.603872,248,2470.672613
0.007016,84,2471.865157
0,59,2472.735051
0.825303,147,2474.391176
8.660541,1001,2484.411414
0.007201,266,2487.474343
8.090619,1001,2496.974154
9.800313,1001,2506.114831
12.193965,1001,2516.166351
13.518886,1001,2523.897539
0.050893,113,2525.076337
4.54319,526,2529.029979
10.731181,1001,2537.389739
13.871286,1001,2548.052844
0.003856,148,2549.611982
6.91018,1001,2557.34206
0.215299,115,2558.612916
11.709333,1001,2567.231839
3.100812,297,2569.606431
14.117763,1001,2577.189211
0.030754,117,2579.081101
11.539815,765,2587.347172
9.937863,1001,2594.849767
9.834845,1001,2602.088531
17.013116,1001,2609.266545
10.070971,1001,2617.361564
20.65237,1001,2624.472008
13.459695,1001,2631.609997
10.735963,1001,2638.766992
3.455185,807,2645.660736
13.550982,1001,2652.826177
9.648521,1001,2660.030868
12.616485,1001,2667.30388
8.436195,1001,2675.44567
7.550216,1001,2682.545385
8.313452,1001,2689.878881
7.98265,1001,2697.094128
8.316862,1001,2705.213843
13.390707,1001,2712.700051
11.988183,1001,2719.89609
10.443312,932,2726.721882
0.054337,110,2727.868114
10.857128,1001,2735.948292
1.958096,264,2738.396606
0.554904,109,2739.574536
11.540912,1001,2746.8702
18.982523,1001,2754.058302
17.015494,1001,2761.883545
10.812462,1001,2770.502088
0.528558,448,2773.911399
10.085558,1001,2781.247505
11.02327,854,2787.486303
10.535015,1001,2794.829471
0,50,2795.534947
13.995471,1001,2803.958276
0,63,2804.822653
0,79,2805.795149
21.965373,1001,2814.049425
12.926801,1001,2821.802243
12.052574,1001,2829.227535
14.845473,1001,2837.339376
10.512028,1001,2844.519198
14.672545,1001,2851.961643
12.38254,1001,2859.684558
0,58,2860.538036
11.317888,1001,2869.82019
0,59,2870.725337
19.380476,1001,2878.73363
0.009129,58,2879.525372
10.798619,1001,2887.339567
16.644085,1001,2895.228629
9.74838,1001,2903.463296
12.859298,1001,2910.681635
18.516672,1001,2918.279378
15.642251,1001,2925.580036
19.542267,1001,2933.717533
13.043446,1001,2941.279542
10.382559,1001,2948.644127
18.001361,1001,2956.275728
9.661074,1001,2965.158421
19.948235,1001,2973.522262
8.078502,857,2980.721698
16.583399,1001,2988.214055
17.365234,1001,2996.645506
17.904672,1001,3005.070963
8.947907,1001,3012.718954
18.210396,1001,3020.668606
10.972739,1001,3029.823446
14.927861,1001,3037.562098
15.614926,1001,3044.947491
14.156523,1001,3054.249428
0.003159,61,3055.088444
8.017565,644,3060.42384
0.048658,127,3061.802411
21.696752,1001,3070.492599
0.009972,87,3071.538587
16.50231,1001,3078.928331
15.035847,1001,3086.510921
16.386136,1001,3094.569849
10.682369,1001,3103.19375
19.806292,1001,3110.687229
13.189048,1001,3119.990445
17.735142,1001,3128.824915
0,162,3130.36072
11.876935,1001,3138.906771
2.512188,230,3140.85394
0.003656,85,3141.845436
1.913256,313,3144.358072
20.442326,1001,3151.67114
13.398459,960,3158.634793
20.999916,1001,3166.732809
25.632533,1001,3173.89151
12.968417,1001,3181.348702
17.713074,1001,3188.635912
19.095154,1001,3196.778096
19.106162,1001,3204.005798
21.154997,1001,3211.212216
20.170329,1001,3218.42384
17.977474,1001,3226.622862
14.646647,1001,3234.081629
4.691722,310,3236.592535
18.31553,1001,3244.155679
15.639798,1001,3251.57551
12.348777,1001,3259.675735
21.141119,1001,3267.003812
19.101989,1001,3274.50233
12.427076,1001,3281.875796
17.508069,1001,3291.472206
22.535841,1001,3299.203674
15.895934,1001,3306.695134
16.702263,1001,3313.977596
18.053706,1001,3322.094371
16.92312,1001,3329.484453
12.591643,1001,3336.785819
16.994546,1001,3344.170572
24.558099,1001,3352.600023
16.527468,1001,3360.246696
0,73,3361.151796
20.857058,1001,3368.506807
24.349641,1001,3375.784557
20.433707,1001,3383.870009
20.511473,1001,3391.262134
21.180165,1001,3398.61163
23.19727,1001,3405.953758
25.411768,1001,3414.005763
22.142931,1001,3421.532606
14.02912,1001,3428.791398
21.470997,1001,3435.863635
23.005601,1001,3443.017195
18.062108,1001,3451.029066
21.282922,1001,3458.43639
24.476557,1001,3465.607158
0.000596,61,3466.405459
20.871495,1001,3473.52329
23.372747,1001,3481.958937
20.578992,1001,3489.414295
0,64,3490.26724
18.585268,1001,3497.488207
23.92828,1001,3504.62107
24.22813,1001,3512.860009
18.834957,1001,3521.560775
25.656149,1001,3528.901887
18.94621,1001,3536.160159
20.264088,1001,3544.65743
22.940601,1001,3552.063812
19.439371,1001,3560.187379
22.533198,1001,3567.443296
25.848724,1001,3575.851566
25.336995,1001,3583.331531
21.979718,1001,3590.630691
19.915716,1001,3597.97345
24.559961,1001,3606.179924
24.252071,1001,3613.592058
22.824368,1001,3620.905951
25.742508,1001,3628.223613
25.74462,1001,3636.425576
26.703106,1001,3643.713908
26.506559,1001,3650.939157
23.791342,1001,3658.300829
24.694398,1001,3666.587868
23.204039,1001,3673.837065
21.329724,1001,3681.046504
24.378909,1001,3688.288777
22.974264,1001,3696.471277
25.830562,1001,3704.606853
24.365676,1001,3713.136817
20.082088,1001,3721.50741
20.124159,1001,3731.549888
25.02036,1001,3744.364312
22.418914,1001,3756.423329
22.55594,1001,3769.37405
23.732761,1001,3783.047674
24.12168,1001,3794.675994
0.007644,108,3796.478535
17.014007,1001,3808.068882
22.07982,1001,3818.928058
23.577232,1001,3831.029474
24.087643,1001,3842.444
24.555537,1001,3853.232015
24.006378,1001,3865.020207
21.211167,1001,3878.177615
25.909652,1001,3890.297918
24.097228,1001,3901.883206
26.180776,1001,3912.478135
24.725087,1001,3922.749639
17.056575,1001,3934.22015
0,56,3935.350204
26.181246,1001,3945.724335
25.644679,1001,3957.698382
23.519532,1001,3968.886917
24.423399,1001,3980.839415
26.49341,1001,3992.879498
22.974841,1001,4000.746687
24.137404,1001,4008.016218
25.123662,1001,4016.799989
19.216343,1001,4024.328212
23.644198,1001,4031.817524
19.719232,1001,4039.583044
27.004571,1001,4047.783005
24.324596,1001,4055.069901
27.830532,1001,4062.329892
23.584439,1001,4070.335173
26.891525,1001,4079.042271
23.524872,1001,4086.232578
26.468122,1001,4093.481885
25.445825,1001,4100.695279
26.726275,1001,4109.007153
28.202773,1001,4116.489997
26.385461,1001,4124.262661
28.921295,1001,4131.702336
27.942962,1001,4140.139647
23.254558,1001,4147.410196
27.18702,1001,4154.606753
28.111488,1001,4162.272465
21.056589,1001,4170.784716
27.917949,1001,4178.494346
22.816369,1001,4185.886228
25.19169,1001,4193.154752
26.677019,1001,4201.499058
24.627451,1001,4209.182827
25.425723,1001,4216.478221
26.745108,1001,4224.033803
26.436352,1001,4235.899548
28.322937,1001,4246.376752
23.583565,1001,4257.717818
24.779287,1001,4269.26139
23.001088,1001,4282.28707
27.433686,1001,4293.93337
27.580599,1001,4304.836422
23.573667,1001,4316.085393
29.593053,1001,4328.00425
27.448929,1001,4338.767848
21.374474,1001,4349.715912
25.471185,1001,4361.238741
25.826285,1001,4371.542444
27.247755,1001,4384.418018
26.199667,1001,4395.301699
27.635523,1001,4403.527529
26.611171,1001,4410.638645
26.573007,1001,4420.163688
26.440269,1001,4430.794948
26.848906,1001,4441.063192
26.549081,1001,4451.400912
27.840584,1001,4463.359882
24.104979,1001,4473.644646
28.24426,1001,4484.367059
21.813803,1001,4496.089388
25.716565,1001,4508.539035
24.289504,1001,4519.482485
23.295927,1001,4530.97021
24.408429,1001,4541.501295
27.926161,1001,4554.000875
28.228356,1001,4565.233113
26.180531,1001,4576.282409
22.92423,1001,4586.948531
25.5191,1001,4598.741382
24.939455,1001,4610.238787
26.620676,1001,4620.805447
29.021338,1001,4631.790687
26.085084,1001,4643.048542
26.819679,1001,4653.020346
29.438232,1001,4664.245062
29.720909,1001,4674.676193
28.879018,1001,4686.244721
24.053638,1001,4696.127249
27.645971,1001,4706.407084
0,84,4707.664811
23.971,1001,4717.710214
21.608204,1001,4729.500789
27.635376,1001,4740.795287
27.703595,1001,4750.757912
28.279988,1001,4761.252806
26.805115,1001,4774.000648
25.790389,1001,4785.64233
27.555772,1001,4796.800722
26.943081,1001,4807.162399
27.643235,1001,4818.70606
19.318899,1001,4829.303267
26.630663,1001,4840.314778
27.159103,1001,4851.847354
28.324513,1001,4863.47689
25.320172,1001,4873.854222
24.456804,1001,4884.46091
21.767442,1001,4892.109607
28.509732,1001,4899.437441
26.975915,1001,4907.832817
28.035563,1001,4915.546258
29.806791,1001,4922.860683
25.944684,1001,4930.132273
28.595404,1001,4938.266882
30.18331,1001,4946.197956
25.525929,1001,4953.717062
24.25999,1001,4961.916567
26.94439,1001,4970.730521
29.831622,1001,4979.128222
29.756325,1001,4987.093862
30.421369,1001,4997.210028
27.701293,1001,5009.75151
27.250032,1001,5020.935073
30.952187,1001,5038.031499
30.075568,1001,5053.161197
27.574446,1001,5065.570186
26.652478,1001,5073.891176
25.91349,1001,5081.65093
28.075187,1001,5089.776334
24.659996,1001,5099.80655
29.099695,1001,5108.623384
27.040024,1001,5116.631032
30.658735,1001,5124.446979
30.161131,1001,5132.623718
23.901422,1001,5140.291669
27.973177,1001,5151.046221
26.116205,1001,5161.957881
28.581973,1001,5174.973671
28.225671,1001,5184.449661
28.360217,1001,5191.8619
27.930802,1001,5199.579967
30.893261,1001,5208.194684
26.163406,1001,5215.698575
27.676134,1001,5225.319363
27.066817,1001,5232.549459
24.292288,1001,5241.249132
27.001994,1001,5250.093207
31.108374,1001,5259.721578
26.32179,1001,5268.166513
27.717508,1001,5276.592981
27.593534,1001,5285.829911
27.200346,1001,5293.504768
27.904049,1001,5301.415912
0.466213,129,5302.782101
28.515833,1001,5311.584704
29.105961,1001,5320.057262
30.379713,1001,5330.039062
27.906192,1001,5339.966151
25.715898,1001,5348.089469
28.282976,1001,5357.041993
29.483584,1001,5365.378749
24.148433,1001,5373.53367
28.534169,1001,5381.159482
29.641618,1001,5390.556582
27.720036,1001,5398.485039
29.487723,1001,5406.284849
26.703895,1001,5414.027251
29.662956,1001,5423.182441
28.74101,1001,5431.650753
30.35083,1001,5445.332755
28.158944,1001,5459.279998
30.032554,1001,5468.604797
28.844788,1001,5476.017478
29.602938,1001,5483.241855
30.385816,1001,5492.151188
25.724839,1001,5500.208109
26.089585,1001,5507.686264
26.336429,1001,5516.997386
29.283333,1001,5526.271061
29.803841,1001,5538.432079
27.937964,1001,5545.943279
26.374602,1001,5555.150263
25.806414,1001,5564.345337
29.267705,1001,5573.302619
29.230313,1001,5581.520277
27.514003,1001,5590.993164
27.917788,1001,5599.385639
28.944395,1001,5609.634833
30.673495,1001,5617.296762
28.611765,1001,5624.989664
25.555746,1001,5632.74287
28.656878,1001,5645.018276
30.847427,1001,5655.777887
26.547817,1001,5666.999318
28.831845,1001,5674.090882
28.628596,1001,5682.793298
28.201932,1001,5690.149294
31.492309,1001,5697.542697
29.656505,1001,5704.85513
26.655731,1001,5712.997943
30.762053,1001,5720.270275
30.601512,1001,5727.545225
31.023984,1001,5734.792475
29.185133,1001,5742.053913
26.90954,1001,5750.366255
27.699485,1001,5757.822723
25.640079,1001,5765.338838
29.022225,1001,5773.459455
28.628939,1001,5781.821593
28.654061,1001,5789.151654
26.752733,1001,5796.483002
28.209373,1001,5803.817332
30.050433,1001,5812.091139
25.668887,1001,5819.479542
27.251026,1001,5826.744248
26.129918,1001,5834.100065
25.059649,1001,5842.404928
29.914744,1001,5849.762734
28.645004,1001,5856.981205
29.330605,1001,5864.368151
29.319053,1001,5872.492009
30.34921,1001,5880.056119
29.403707,1001,5887.416212
31.600391,1001,5894.791824
28.811746,1001,5903.010695
28.218377,1001,5910.539786
24.806002,1001,5918.016919
30.51677,1001,5925.42629
30.398877,1001,5933.698681
28.109238,1001,5941.357405
26.561782,1001,5948.821844
29.641521,1001,5956.272305
26.934948,1001,5964.746438
29.194321,1001,5972.248614
27.266962,1001,5979.619531
22.582112,1001,5987.430614
27.288067,1001,5996.058714
27.639983,1001,6004.425068
30.882917,1001,6011.863956
28.713618,1001,6019.413328
29.247592,1001,6027.856472
30.161131,1001,6035.316138
26.0041,1001,6042.679262
24.2206,1001,6050.244576
29.430424,1001,6058.725963
30.284888,1001,6066.181185
28.3125,1001,6073.57032
27.796697,1001,6081.32834
26.491901,1001,6091.619313
29.530017,1001,6100.747158
27.096782,1001,6108.912122
28.241144,1001,6117.116297
29.79902,1001,6125.495451
28.779905,1001,6134.77335
27.180402,1001,6142.91757
27.591828,1001,6151.201822
28.938238,1001,6159.568177
30.401089,1001,6168.867461
30.332739,1001,6177.374925
27.172424,1001,6185.962234
27.314264,1001,6194.402886
27.298312,1001,6203.824415
27.137317,1001,6212.547794
26.424691,1001,6220.953088
31.243838,1001,6229.710335
28.600555,1001,6239.510289
30.59796,1001,6248.469551
29.319867,1001,6258.337629
26.508965,1001,6266.83979
27.857499,1001,6276.587461
28.865739,1001,6284.946091
28.964196,1001,6293.424449
30.196505,1001,6302.13045
26.462872,1001,6311.688197
29.161135,1001,6320.291711
29.775727,1001,6329.261955
30.930799,1001,6337.592554
29.608457,1001,6346.871099
27.851713,1001,6354.9393
26.735353,1001,6363.595311
30.451957,1001,6371.641111
28.928968,1001,6381.274398
28.443666,1001,6389.860534
28.566788,1001,6397.817982
30.998367,1001,6405.710367
28.912177,1001,6414.637711
29.176157,1001,6422.94704
28.899536,1001,6430.856013
28.784141,1001,6438.918365
25.919736,1001,6447.967646
29.312041,1001,6456.149205
30.369166,1001,6464.110189
29.556845,1001,6472.134391
28.08806,1001,6480.610081
29.93384,1001,6489.599348
27.73874,1001,6497.702654
30.627783,1001,6505.892321
29.537665,1001,6515.376928
27.975904,1001,6524.942634
30.751271,1001,6533.17965
30.301275,1001,6541.656765
29.576057,1001,6550.010728
29.698179,1001,6559.280948
27.237558,1001,6567.909428
27.505396,1001,6577.243386
